,Index,Lender name,Rate type,Initial rate,Initial Period,Ongoing rate,Ending Loan,Interest Paid,Capital Paid,Overpayments,Fee,Total costs (excl. capital)
0,559,Royal Bank of Scotland Intermediaries,Fixed,2.48,60,3.99,70579.66590292755,10579.665902927603,28420.334097072453,15591.538455340553,0.0,10579.665902927603
0,560,NatWest Intermediary Solutions,Fixed,2.48,60,4.49,70579.66590292755,10579.665902927603,28420.334097072453,15591.538455340553,0.0,10579.665902927603
0,561,Platform,Fixed,2.49,60,4.74,70625.20143632454,10625.201436324545,28374.79856367546,15560.690204501125,0.0,10625.201436324545
0,565,Leeds Building Society ,Fixed,2.49,60,5.99,70625.20143632454,10625.201436324545,28374.79856367546,15560.690204501125,0.0,10625.201436324545
0,7,Barclays,Fixed,1.5,24,4.99,69639.32090006063,9639.320900060588,29360.67909993937,17659.70895471504,990.0,10629.320900060588
0,415,Barclays,Fixed,1.5,24,4.99,69639.32090006063,9639.320900060588,29360.67909993937,17659.70895471504,990.0,10629.320900060588
0,119,Royal Bank of Scotland Intermediaries,Fixed,2.28,60,3.99,69673.9914846144,9673.991484614407,29326.008515385605,16203.585298555096,995.0,10668.991484614407
0,524,Royal Bank of Scotland,Fixed,2.28,60,3.99,69673.9914846144,9673.991484614407,29326.008515385605,16203.585298555096,995.0,10668.991484614407
0,525,NatWest,Fixed,2.28,60,4.49,69673.9914846144,9673.991484614407,29326.008515385605,16203.585298555096,995.0,10668.991484614407
0,577,Principality Building Society,Fixed,2.5,60,4.9,70670.76103986251,10670.761039862531,28329.23896013749,15529.818610227514,0.0,10670.761039862531
0,503,Principality Building Society,Fixed,2.2,60,4.9,69314.39477215742,9314.394772157415,29685.605227842578,16445.77001904195,1395.0,10709.394772157415
0,121,Skipton Building Society,Fixed,2.29,60,4.94,69719.04813326082,9719.048133260789,29280.951866739182,16173.206093343935,995.0,10714.048133260789
0,528,Royal Bank of Scotland Intermediaries,Fixed,2.29,60,3.99,69719.04813326082,9719.048133260789,29280.951866739182,16173.206093343935,995.0,10714.048133260789
0,529,Skipton Building Society,Fixed,2.29,60,4.94,69719.04813326082,9719.048133260789,29280.951866739182,16173.206093343935,995.0,10714.048133260789
0,416,Virgin Money Intermediary,Fixed,1.52,24,4.99,69726.81489381156,9726.814893811577,29273.185106188437,17599.62852133972,995.0,10721.814893811577
0,535,Accord Mortgages,Fixed,2.31,60,4.99,69809.23293454667,9809.232934546708,29190.76706545333,16112.377047428163,950.0,10759.232934546708
0,9,Platform,Fixed,1.54,24,4.74,69778.70401953695,9778.704019537,29221.295980463052,17566.910894815428,999.0,10777.704019537
0,173,Skipton Building Society,Fixed,2.53,60,4.94,70807.58439168612,10807.584391686063,28192.41560831388,15437.06387327676,0.0,10807.584391686063
0,8,Virgin Money Intermediary,Fixed,1.54,24,4.99,69814.39843433771,9814.398434337741,29185.60156566229,17539.42960540232,995.0,10809.398434337741
0,480,Virgin Money Intermediary,Fixed,2.09,60,4.99,68822.42718368016,8822.427183680176,30177.572816319836,16776.303086354867,1995.0,10817.427183680176
0,174,Leeds Building Society ,Fixed,2.54,60,5.99,70853.24039618068,10853.240396180674,28146.759603819315,15406.099011920824,0.0,10853.240396180674
0,180,Royal Bank of Scotland Intermediaries,Fixed,2.55,60,3.99,70898.92053104172,10898.920531041713,28101.079468958284,15375.110860633564,0.0,10898.920531041713
0,181,NatWest Intermediary Solutions,Fixed,2.55,60,4.49,70898.92053104172,10898.920531041713,28101.079468958284,15375.110860633564,0.0,10898.920531041713
0,104,Accord Mortgages,Fixed,2.22,60,4.99,69404.15137061408,9404.151370614074,29595.848629385917,16385.3654620004,1495.0,10899.151370614074
0,0,Platform,Fixed,1.34,24,4.74,68907.26549892781,8907.265498927782,30092.73450107219,18163.30694633205,1999.0,10906.265498927782
0,114,Principality Building Society,Fixed,2.25,60,4.9,69538.96440373853,9538.964403738477,29461.03559626147,16294.581524896465,1395.0,10933.964403738477
0,132,State Bank of India,Fixed,2.34,60,4.49,69944.68907530727,9944.68907530724,29055.310924692734,16020.957038957788,995.0,10939.68907530724
0,538,State Bank of India,Fixed,2.34,60,4.49,69944.68907530727,9944.68907530724,29055.310924692734,16020.957038957788,995.0,10939.68907530724
0,136,Leeds Building Society ,Fixed,2.34,60,5.99,69944.68907530727,9944.68907530724,29055.310924692734,16020.957038957788,999.0,10943.68907530724
0,541,Platform,Fixed,2.34,60,4.74,69944.68907530727,9944.68907530724,29055.310924692734,16020.957038957788,999.0,10943.68907530724
0,78,Virgin Money Intermediary,Fixed,2.12,60,4.99,68956.31637803999,8956.316378039925,30043.683621960008,16686.44205150015,1995.0,10951.316378039925
0,420,Royal Bank of Scotland Intermediaries,Fixed,1.61,24,3.99,69978.38624068236,9978.386240682383,29021.61375931764,17436.124414916678,995.0,10973.386240682383
0,591,Skipton Building Society,Fixed,2.57,60,4.94,70990.35324011922,10990.353240119224,28009.64675988078,15313.064731537102,0.0,10990.353240119224
0,81,Skipton Building Society,Fixed,2.13,60,4.94,69000.99335169344,9000.993351693443,29999.00664830656,16656.4409385883,1995.0,10995.993351693443
0,12,Virgin Money,Fixed,1.59,24,4.99,70033.74962081503,10033.749620815044,28966.250379184974,17388.413636494482,995.0,11028.749620815044
0,419,Virgin Money,Fixed,1.59,24,4.99,70033.74962081503,10033.749620815044,28966.250379184974,17388.413636494482,995.0,11028.749620815044
0,85,Platform,Fixed,2.14,60,4.74,69045.69396614199,9045.693966141975,29954.30603385801,16626.416123779683,1999.0,11044.693966141975
0,421,NatWest Intermediary Solutions,Fixed,1.61,24,4.49,70050.00045155094,10050.000451550919,28949.999548449065,17382.62481842509,995.0,11045.000451550919
0,408,Virgin Money Intermediary,Fixed,1.37,24,4.99,69072.78668092121,9072.786680921234,29927.213319078786,18047.347186508854,1995.0,11067.786680921234
0,186,Metro Bank,Fixed,2.59,60,4.5,71081.88261548926,11081.8826154893,27918.11738451074,15250.925572863227,0.0,11081.8826154893
0,187,Barclays,Fixed,2.59,60,4.99,71081.88261548926,11081.8826154893,27918.11738451074,15250.925572863227,0.0,11081.8826154893
0,594,Metro Bank,Fixed,2.59,60,4.5,71081.88261548926,11081.8826154893,27918.11738451074,15250.925572863227,0.0,11081.8826154893
0,595,Barclays,Fixed,2.59,60,4.99,71081.88261548926,11081.8826154893,27918.11738451074,15250.925572863227,0.0,11081.8826154893
0,36,Platform,Fixed,1.84,24,4.74,71102.6882301758,11102.688230175783,27897.3117698242,16650.08473722311,0.0,11102.688230175783
0,523,Accord Mortgages,Fixed,2.27,60,4.99,69628.95865474817,9628.958654748232,29371.041345251826,16233.940945432085,1495.0,11123.958654748232
0,544,Leeds Building Society ,Fixed,2.38,60,5.99,70125.63178352326,10125.631783523235,28874.368216476738,15898.734761837597,999.0,11124.631783523235
