,Month,RemainingTerm,DealNum,PropertyPrice,Loan,LTV,InterestRate,InterestDue,CapitalPaymentDue,Fees,CapitalPaid,OverpaymentPaid,FeePaid
1,1,359,1,500000,443858.766303,0.887717532606,0.0274,1016.08333333,-1814.31703035,0,1141.23369701,343,0
2,2,358,1,500000,442714.926789,0.885429853578,0.0274,1013.47751639,-1814.31703035,0,1143.83951395,343,0
3,3,357,1,500000,441568.475508,0.883136951016,0.0274,1010.8657495,-1814.31703035,0,1146.45128084,343,0
4,4,356,1,500000,440419.406497,0.880838812994,0.0274,1008.24801908,-1814.31703035,0,1149.06901127,343,0
5,5,355,1,500000,439267.713778,0.878535427556,0.0274,1005.6243115,-1814.31703035,0,1151.69271884,343,0
6,6,354,1,500000,438113.391361,0.876226782722,0.0274,1002.99461313,-1814.31703035,0,1154.32241722,343,0
7,7,353,1,500000,436956.433241,0.873912866482,0.0274,1000.35891027,-1814.31703035,0,1156.95812007,343,0
8,8,352,1,500000,435796.8334,0.871593666799,0.0274,997.717189233,-1814.31703035,0,1159.59984111,343,0
9,9,351,1,500000,434634.585806,0.869269171611,0.0274,995.069436263,-1814.31703035,0,1162.24759408,343,0
10,10,350,1,500000,433469.684413,0.866939368826,0.0274,992.415637589,-1814.31703035,0,1164.90139276,343,0
11,11,349,1,500000,432302.123162,0.864604246324,0.0274,989.755779409,-1814.31703035,0,1167.56125094,343,0
12,12,348,1,500000,431131.895979,0.862263791959,0.0274,987.089847886,-1814.31703035,0,1170.22718246,343,0
13,13,347,1,500000,429958.996778,0.859917993557,0.0274,984.417829153,-1814.31703035,0,1172.89920119,343,0
14,14,346,1,500000,428783.419457,0.857566838914,0.0274,981.73970931,-1814.31703035,0,1175.57732103,343,0
15,15,345,1,500000,427605.157901,0.855210315803,0.0274,979.055474427,-1814.31703035,0,1178.26155592,343,0
16,16,344,1,500000,426424.205981,0.852848411963,0.0274,976.365110541,-1814.31703035,0,1180.9519198,343,0
17,17,343,1,500000,425240.557555,0.85048111511,0.0274,973.668603658,-1814.31703035,0,1183.64842669,343,0
18,18,342,1,500000,424054.206464,0.848108412928,0.0274,970.96593975,-1814.31703035,0,1186.3510906,343,0
19,19,341,1,500000,422865.146539,0.845730293077,0.0274,968.25710476,-1814.31703035,0,1189.05992559,343,0
20,20,340,1,500000,421673.371593,0.843346743186,0.0274,965.542084597,-1814.31703035,0,1191.77494575,343,0
21,21,339,1,500000,420478.875428,0.840957750855,0.0274,962.820865137,-1814.31703035,0,1194.49616521,343,0
22,22,338,1,500000,419281.65183,0.838563303659,0.0274,960.093432227,-1814.31703035,0,1197.22359812,343,0
23,23,337,1,500000,418081.694571,0.836163389142,0.0274,957.359771677,-1814.31703035,0,1199.95725867,343,0
24,24,336,1,500000,416878.99741,0.83375799482,0.0274,954.61986927,-1814.31703035,0,1202.69716108,343,0
25,25,335,1,500000,415673.55409,0.83134710818,0.0274,951.873710752,-1814.31703035,0,1205.44331959,343,0
26,26,334,1,500000,414465.358342,0.828930716683,0.0274,949.121281839,-1814.31703035,0,1208.19574851,343,0
27,27,333,1,500000,413254.40388,0.826508807759,0.0274,946.362568214,-1814.31703035,0,1210.95446213,343,0
28,28,332,1,500000,412040.684405,0.82408136881,0.0274,943.597555525,-1814.31703035,0,1213.71947482,343,0
29,29,331,1,500000,410824.193604,0.821648387208,0.0274,940.826229391,-1814.31703035,0,1216.49080095,343,0
30,30,330,1,500000,409604.925149,0.819209850298,0.0274,938.048575395,-1814.31703035,0,1219.26845495,343,0
31,31,329,1,500000,408382.872698,0.816765745395,0.0274,935.26457909,-1814.31703035,0,1222.05245126,343,0
32,32,328,1,500000,407158.029893,0.814316059786,0.0274,932.474225993,-1814.31703035,0,1224.84280435,343,0
33,33,327,1,500000,405930.390364,0.811860780729,0.0274,929.67750159,-1814.31703035,0,1227.63952876,343,0
34,34,326,1,500000,404699.947725,0.809399895451,0.0274,926.874391332,-1814.31703035,0,1230.44263901,343,0
35,35,325,1,500000,403466.695576,0.806933391152,0.0274,924.06488064,-1814.31703035,0,1233.25214971,343,0
36,36,324,1,500000,402230.6275,0.804461255001,0.0274,921.248954898,-1814.31703035,0,1236.06807545,343,0
37,37,323,1,500000,400991.737069,0.801983474139,0.0274,918.426599459,-1814.31703035,0,1238.89043089,343,0
38,38,322,1,500000,399750.017839,0.799500035677,0.0274,915.597799642,-1814.31703035,0,1241.7192307,343,0
39,39,321,1,500000,398505.463349,0.797010926698,0.0274,912.762540732,-1814.31703035,0,1244.55448961,343,0
40,40,320,1,500000,397258.067127,0.794516134254,0.0274,909.92080798,-1814.31703035,0,1247.39622236,343,0
41,41,319,1,500000,396007.822683,0.792015645366,0.0274,907.072586606,-1814.31703035,0,1250.24444374,343,0
42,42,318,1,500000,394754.723514,0.789509447029,0.0274,904.217861793,-1814.31703035,0,1253.09916855,343,0
43,43,317,1,500000,393498.763103,0.786997526206,0.0274,901.356618691,-1814.31703035,0,1255.96041165,343,0
44,44,316,1,500000,392239.934915,0.78447986983,0.0274,898.488842418,-1814.31703035,0,1258.82818793,343,0
45,45,315,1,500000,390978.232403,0.781956464805,0.0274,895.614518056,-1814.31703035,0,1261.70251229,343,0
46,46,314,1,500000,389713.649003,0.779427298006,0.0274,892.733630653,-1814.31703035,0,1264.58339969,343,0
47,47,313,1,500000,388446.178138,0.776892356276,0.0274,889.846165223,-1814.31703035,0,1267.47086512,343,0
48,48,312,1,500000,387175.813214,0.774351626428,0.0274,886.952106748,-1814.31703035,0,1270.3649236,343,0
49,49,311,1,500000,385902.547624,0.771805095248,0.0274,884.051440172,-1814.31703035,0,1273.26559017,343,0
50,50,310,1,500000,384626.374744,0.769252749488,0.0274,881.144150408,-1814.31703035,0,1276.17287994,343,0
51,51,309,1,500000,383347.287936,0.766694575872,0.0274,878.230222332,-1814.31703035,0,1279.08680801,343,0
52,52,308,1,500000,382065.280547,0.764130561093,0.0274,875.309640787,-1814.31703035,0,1282.00738956,343,0
53,53,307,1,500000,380780.345907,0.761560691813,0.0274,872.382390581,-1814.31703035,0,1284.93463976,343,0
54,54,306,1,500000,379492.477333,0.758984954666,0.0274,869.448456487,-1814.31703035,0,1287.86857386,343,0
55,55,305,1,500000,378201.668126,0.756403336252,0.0274,866.507823243,-1814.31703035,0,1290.8092071,343,0
56,56,304,1,500000,376907.911571,0.753815823142,0.0274,863.560475554,-1814.31703035,0,1293.75655479,343,0
57,57,303,1,500000,375611.200939,0.751222401877,0.0274,860.606398087,-1814.31703035,0,1296.71063226,343,0
58,58,302,1,500000,374311.529484,0.748623058968,0.0274,857.645575477,-1814.31703035,0,1299.67145487,343,0
59,59,301,1,500000,373008.890446,0.746017780892,0.0274,854.677992321,-1814.31703035,0,1302.63903802,343,0
60,60,300,1,500000,371703.277049,0.743406554097,0.0274,851.703633185,-1814.31703035,0,1305.61339716,343,0
