,Month,RemainingTerm,DealNum,PropertyPrice,Loan,LTV,InterestRate,InterestDue,CapitalPaymentDue,Fees,CapitalPaid,OverpaymentPaid,FeePaid
51,51,164,3,170000,78534.53864,0.461967874,0.0334,219.6464379,-599.9956517,0,380.3492139,0,0
52,52,163,3,170000,78153.13079,0.459724299,0.0334,218.5877992,-599.9956517,0,381.4078525,0,0
53,53,162,3,170000,77770.66135,0.457474479,0.0334,217.526214,-599.9956517,0,382.4694377,0,0
54,54,161,3,170000,77387.12737,0.455218396,0.0334,216.4616741,-599.9956517,0,383.5339776,0,0
55,55,160,3,170000,77002.52589,0.452956035,0.0334,215.3941712,-599.9956517,0,384.6014805,0,0
56,56,159,3,170000,76616.85394,0.450687376,0.0334,214.3236971,-599.9956517,0,385.6719547,0,0
57,57,158,3,170000,76230.10853,0.448412403,0.0334,213.2502435,-599.9956517,0,386.7454083,0,0
58,58,157,3,170000,75842.28668,0.446131098,0.0334,212.1738021,-599.9956517,0,387.8218496,0,0
59,59,156,3,170000,75453.38539,0.443843443,0.0334,211.0943646,-599.9956517,0,388.9012871,0,0
60,60,155,3,170000,75063.40166,0.441549422,0.0334,210.0119227,-599.9956517,0,389.983729,0,0
