,CapitalPaid,CapitalPaymentDue,DealNum,FeePaid,Fees,InterestDue,InterestRate,LTV,Loan,Month,OverpaymentPaid,PropertyPrice,RemainingTerm,num
46,884.51040743,-1814.31703035,1,0,0,929.806622915,0.0274,0.812660137943,406330.068972,46,0,500000,314,0.0
47,886.530039527,-1814.31703035,1,0,0,927.786990819,0.0274,0.810887077864,405443.538932,47,0,500000,313,0.0
48,888.554283117,-1814.31703035,1,0,0,925.762747228,0.0274,0.809109969298,404554.984649,48,0,500000,312,0.0
49,890.58314873,-1814.31703035,1,0,0,923.733881615,0.0274,0.807328803,403664.4015,49,0,500000,311,0.0
50,892.61664692,-1814.31703035,1,0,0,921.700383426,0.0274,0.805543569707,402771.784853,50,0,500000,310,0.0
51,894.654788263,-1814.31703035,1,0,0,919.662242082,0.0274,0.80375426013,401877.130065,51,0,500000,309,0.0
52,896.697583363,-1814.31703035,1,0,0,917.619446982,0.0274,0.801960864963,400980.432482,52,0,500000,308,0.0
53,898.745042845,-1814.31703035,1,0,0,915.5719875,0.0274,0.800163374878,400081.687439,53,0,500000,307,0.0
54,900.79717736,-1814.31703035,1,0,0,913.519852985,0.0274,0.798361780523,399180.890261,54,0,500000,306,0.0
55,902.853997582,-1814.31703035,1,0,0,911.463032764,0.0274,0.796556072528,398278.036264,55,0,500000,305,0.0
56,904.915514209,-1814.31703035,1,0,0,909.401516136,0.0274,0.794746241499,397373.12075,56,0,500000,304,0.0
57,906.981737967,-1814.31703035,1,0,0,907.335292378,0.0274,0.792932278023,396466.139012,57,0,500000,303,0.0
58,909.052679602,-1814.31703035,1,0,0,905.264350743,0.0274,0.791114172664,395557.086332,58,0,500000,302,0.0
59,911.128349887,-1814.31703035,1,0,0,903.188680458,0.0274,0.789291915964,394645.957982,59,0,500000,301,0.0
60,913.208759619,-1814.31703035,1,0,0,901.108270726,0.0274,0.787465498445,393732.749223,60,0,500000,300,0.0
0,0,-1814.31703035,1,995.0,995.0,0,0.0274,0.89,445000,0,0,500000,360,1.0
1,1141.23369701,-1814.31703035,1,0,0,1016.08333333,0.0274,0.887717532606,443858.766303,1,343,500000,359,1.0
2,1143.83951395,-1814.31703035,1,0,0,1013.47751639,0.0274,0.885429853578,442714.926789,2,343,500000,358,1.0
3,1146.45128084,-1814.31703035,1,0,0,1010.8657495,0.0274,0.883136951016,441568.475508,3,343,500000,357,1.0
4,1149.06901127,-1814.31703035,1,0,0,1008.24801908,0.0274,0.880838812994,440419.406497,4,343,500000,356,1.0
5,1151.69271884,-1814.31703035,1,0,0,1005.6243115,0.0274,0.878535427556,439267.713778,5,343,500000,355,1.0
